"","last_action","count"
"1","Administrative Abatement - Abatement",1
"2","Administrative Abatement - Appeal Period",1
"3","Administrative Abatement - Cost Confirmation Hearing",1
"4","Administrative Abatement - Cost Confirmation Hearing Preparation",1
"5","Administrative Abatement - Hearing",1
"6","Administrative Abatement - Inspection",6
"7","Administrative Abatement - Notice Issued",28
"8","Administrative Abatement - Packet Preparation",2
"9","Administrative Citation - Compliance Period",86
"10","Administrative Citation - Inspection",6
"11","Administrative Citation - Issue",13
"12","Administrative Citation Appeal Hearing - Hearing",4
"13","Administrative Citation Appeal Hearing - Inspection",1
"14","Administrative Citation Appeal Hearing - Packet Preparation",7
"15","Administrative Citation Warning - Compliance Period",281
"16","Administrative Citation Warning - Inspection",21
"17","Administrative Citation Warning - Issue",80
"18","Case Opened - Inspection",454
"19","Case Opened - Inspection Prep",859
"20","Case Opened - Inspection(P1)",11
"21","Case Opened - Inspection(P2)",135
"22","City Attorney Referral - Case File Prepared",5
"23","City Attorney Referral - Inspection",1
"24","City Attorney Referral - Packet Preparation",9
"25","City Attorney Referral - Referred",259
"26","Civil Penalty Hearing - Compliance Period",42
"27","Civil Penalty Hearing - Hearing",29
"28","Civil Penalty Hearing - Hearing Preparation",3
"29","Civil Penalty Hearing - Inspection",5
"30","Civil Penalty Hearing - Packet Preparation",38
"31","Civil Penalty Hearing (2nd) - Compliance Period",5
"32","Civil Penalty Hearing (2nd) - Hearing",3
"33","Civil Penalty Hearing (2nd) - Packet Preparation",2
"34","Civil Penalty Notice And Order - Compliance Period",227
"35","Civil Penalty Notice And Order - Inspection",15
"36","Civil Penalty Notice And Order - Issued",124
"37","DSD Construction Permit - Compliance Period",398
"38","Intent to Record Notice of Violation - Preparation",1
"39","Intent to Record Notice of Violation Hearing - Packet Preparation",1
"40","Notice of Violation - Compliance Period",8
"41","Notice of Violation - Drafted",13
"42","Notice of Violation - Sent",68
"43","Vacant Property Monitoring - Inspection",185
