"","YEAR_CLOSED","MONTH_CLOSED","year_month","case_type","cases"
"1","1993","03","1993-03","closed",0
"2","1996","06","1996-06","closed",0
"3","1997","03","1997-03","closed",0
"4","1997","05","1997-05","closed",0
"5","1997","06","1997-06","closed",0
"6","1998","06","1998-06","closed",0
"7","1999","04","1999-04","closed",0
"8","1999","08","1999-08","closed",0
"9","2000","01","2000-01","closed",0
"10","2001","03","2001-03","closed",0
"11","2001","08","2001-08","closed",0
"12","2001","10","2001-10","closed",0
"13","2002","03","2002-03","closed",0
"14","2002","04","2002-04","closed",0
"15","2002","06","2002-06","closed",0
"16","2003","05","2003-05","closed",0
"17","2003","07","2003-07","closed",0
"18","2003","08","2003-08","closed",0
"19","2003","10","2003-10","closed",0
"20","2004","01","2004-01","closed",0
"21","2004","08","2004-08","closed",0
"22","2004","09","2004-09","closed",0
"23","2004","10","2004-10","closed",0
"24","2004","12","2004-12","closed",0
"25","2005","01","2005-01","closed",0
"26","2005","03","2005-03","closed",0
"27","2005","06","2005-06","closed",0
"28","2005","07","2005-07","closed",0
"29","2005","08","2005-08","closed",0
"30","2005","09","2005-09","closed",0
"31","2005","10","2005-10","closed",0
"32","2005","11","2005-11","closed",0
"33","2005","12","2005-12","closed",0
"34","2006","02","2006-02","closed",0
"35","2006","04","2006-04","closed",0
"36","2006","06","2006-06","closed",0
"37","2006","07","2006-07","closed",0
"38","2006","08","2006-08","closed",0
"39","2006","09","2006-09","closed",0
"40","2006","10","2006-10","closed",0
"41","2006","11","2006-11","closed",0
"42","2006","12","2006-12","closed",0
"43","2007","01","2007-01","closed",0
"44","2007","02","2007-02","closed",0
"45","2007","03","2007-03","closed",0
"46","2007","04","2007-04","closed",0
"47","2007","05","2007-05","closed",0
"48","2007","06","2007-06","closed",0
"49","2007","07","2007-07","closed",0
"50","2007","08","2007-08","closed",0
"51","2007","09","2007-09","closed",0
"52","2007","10","2007-10","closed",0
"53","2007","11","2007-11","closed",0
"54","2007","12","2007-12","closed",0
"55","2008","01","2008-01","closed",0
"56","2008","02","2008-02","closed",0
"57","2008","03","2008-03","closed",0
"58","2008","04","2008-04","closed",0
"59","2008","05","2008-05","closed",0
"60","2008","06","2008-06","closed",0
"61","2008","07","2008-07","closed",0
"62","2008","08","2008-08","closed",0
"63","2008","09","2008-09","closed",0
"64","2008","10","2008-10","closed",0
"65","2008","11","2008-11","closed",0
"66","2008","12","2008-12","closed",0
"67","2009","01","2009-01","closed",0
"68","2009","02","2009-02","closed",0
"69","2009","03","2009-03","closed",0
"70","2009","04","2009-04","closed",0
"71","2009","05","2009-05","closed",0
"72","2009","06","2009-06","closed",0
"73","2009","07","2009-07","closed",0
"74","2009","08","2009-08","closed",0
"75","2009","09","2009-09","closed",0
"76","2009","10","2009-10","closed",0
"77","2009","11","2009-11","closed",0
"78","2009","12","2009-12","closed",0
"79","2010","01","2010-01","closed",0
"80","2010","02","2010-02","closed",0
"81","2010","03","2010-03","closed",0
"82","2010","04","2010-04","closed",0
"83","2010","05","2010-05","closed",0
"84","2010","06","2010-06","closed",0
"85","2010","07","2010-07","closed",0
