"","YEAR_CLOSED","MONTH_CLOSED","workgroup","year_month","year_month.y","case_type","cases"
"1","2015","12","Building","2015-12","2015-12","closed",23
"2","2015","12","Code Compliance","2015-12","2015-12","closed",10
"3","2015","12","Zoning","2015-12","2015-12","closed",9
"4","2016","01","Building","2016-01","2016-01","closed",104
"5","2016","01","Code Compliance","2016-01","2016-01","closed",54
"6","2016","01","Zoning","2016-01","2016-01","closed",122
"7","2016","02","Building","2016-02","2016-02","closed",127
"8","2016","02","Code Compliance","2016-02","2016-02","closed",29
"9","2016","02","Zoning","2016-02","2016-02","closed",199
"10","2016","03","Building","2016-03","2016-03","closed",165
"11","2016","03","Code Compliance","2016-03","2016-03","closed",31
"12","2016","03","Zoning","2016-03","2016-03","closed",164
"13","2016","04","Building","2016-04","2016-04","closed",124
"14","2016","04","Code Compliance","2016-04","2016-04","closed",3
"15","2016","04","Graffiti","2016-04",NA,"closed",1
"16","2016","04","Zoning","2016-04","2016-04","closed",167
"17","2016","05","Building","2016-05","2016-05","closed",107
"18","2016","05","Code Compliance","2016-05","2016-05","closed",52
"19","2016","05","Zoning","2016-05","2016-05","closed",179
"20","2016","06","Building","2016-06","2016-06","closed",73
"21","2016","06","Code Compliance","2016-06","2016-06","closed",30
"22","2016","06","Zoning","2016-06","2016-06","closed",134
"23","2015","12","Building","2015-12","2015-12","open",82
"24","2015","12","Code Compliance","2015-12","2015-12","open",13
"25","2015","12","Zoning","2015-12","2015-12","open",104
"26","2016","01","Building","2016-01","2016-01","open",185
"27","2016","01","Code Compliance","2016-01","2016-01","open",20
"28","2016","01","Zoning","2016-01","2016-01","open",171
"29","2016","02","Building","2016-02","2016-02","open",218
"30","2016","02","Code Compliance","2016-02","2016-02","open",31
"31","2016","02","Zoning","2016-02","2016-02","open",227
"32","2016","03","Building","2016-03","2016-03","open",191
"33","2016","03","Code Compliance","2016-03","2016-03","open",34
"34","2016","03","Zoning","2016-03","2016-03","open",192
"35","2016","04","Building","2016-04","2016-04","open",167
"36","2016","04","Code Compliance","2016-04","2016-04","open",26
"37","2016","04","Graffiti","2016-04",NA,"open",NA
"38","2016","04","Zoning","2016-04","2016-04","open",221
"39","2016","05","Building","2016-05","2016-05","open",165
"40","2016","05","Code Compliance","2016-05","2016-05","open",25
"41","2016","05","Zoning","2016-05","2016-05","open",261
"42","2016","06","Building","2016-06","2016-06","open",106
"43","2016","06","Code Compliance","2016-06","2016-06","open",9
"44","2016","06","Zoning","2016-06","2016-06","open",150
"45","2015","12","Building","2015-12","2015-12","backlog",59
"46","2015","12","Code Compliance","2015-12","2015-12","backlog",3
"47","2015","12","Zoning","2015-12","2015-12","backlog",95
"48","2016","01","Building","2016-01","2016-01","backlog",140
"49","2016","01","Code Compliance","2016-01","2016-01","backlog",-31
"50","2016","01","Zoning","2016-01","2016-01","backlog",144
"51","2016","02","Building","2016-02","2016-02","backlog",231
"52","2016","02","Code Compliance","2016-02","2016-02","backlog",-29
"53","2016","02","Zoning","2016-02","2016-02","backlog",172
"54","2016","03","Building","2016-03","2016-03","backlog",257
"55","2016","03","Code Compliance","2016-03","2016-03","backlog",-26
"56","2016","03","Zoning","2016-03","2016-03","backlog",200
"57","2016","04","Building","2016-04","2016-04","backlog",300
"58","2016","04","Code Compliance","2016-04","2016-04","backlog",-3
"59","2016","04","Graffiti","2016-04",NA,"backlog",NA
"60","2016","04","Zoning","2016-04","2016-04","backlog",254
"61","2016","05","Building","2016-05","2016-05","backlog",358
"62","2016","05","Code Compliance","2016-05","2016-05","backlog",-30
"63","2016","05","Zoning","2016-05","2016-05","backlog",336
"64","2016","06","Building","2016-06","2016-06","backlog",391
"65","2016","06","Code Compliance","2016-06","2016-06","backlog",-51
"66","2016","06","Zoning","2016-06","2016-06","backlog",352
