"","case_source","count","closed","closing_rate"
"1","Citizen Complaint",4050,1558,38.4691358024691
"2","Council Referral",144,46,31.9444444444444
"3","Grafitti Hotline",3,1,33.3333333333333
"4","NCCD Staff",698,187,26.7908309455587
"5","Organization Complaint",38,13,34.2105263157895
"6","Other City Department",259,61,23.5521235521236
"7","Outside Agency",11,2,18.1818181818182
"8","Police Department Referral",114,35,30.7017543859649
"9","Route Slip Complaint",23,3,13.0434782608696
"10","Routine Inspection",1,1,100
"11","Website",6,0,0
