"","WEEK_OPEN","YEAR_OPEN","count"
"1","00","2007",19
"2","00","2008",1
"3","00","2013",6
"4","00","2014",20
"5","00","2015",9
"6","01","2007",1
"7","01","2009",3
"8","01","2010",3
"9","01","2011",5
"10","01","2012",1
"11","01","2013",15
"12","01","2014",121
"13","01","2015",127
"14","01","2016",89
"15","02","2008",1
"16","02","2009",2
"17","02","2010",2
"18","02","2011",6
"19","02","2012",5
"20","02","2013",11
"21","02","2014",106
"22","02","2015",88
"23","02","2016",99
"24","03","2005",1
"25","03","2007",6
"26","03","2010",2
"27","03","2011",2
"28","03","2012",6
"29","03","2013",11
"30","03","2014",92
"31","03","2015",88
"32","03","2016",84
"33","04","2000",1
"34","04","2004",1
"35","04","2008",1
"36","04","2009",1
"37","04","2010",1
"38","04","2011",2
"39","04","2012",2
"40","04","2013",22
"41","04","2014",128
"42","04","2015",133
"43","04","2016",104
"44","05","2006",1
"45","05","2007",1
"46","05","2008",1
"47","05","2009",2
"48","05","2010",2
"49","05","2011",1
"50","05","2012",7
"51","05","2013",28
"52","05","2014",93
"53","05","2015",123
"54","05","2016",116
"55","06","2008",2
"56","06","2009",1
"57","06","2010",2
"58","06","2011",8
"59","06","2012",4
"60","06","2013",27
"61","06","2014",93
"62","06","2015",137
"63","06","2016",93
"64","07","2007",1
"65","07","2010",7
"66","07","2011",2
"67","07","2012",11
"68","07","2013",11
"69","07","2014",91
"70","07","2015",91
"71","07","2016",99
"72","08","2006",1
"73","08","2009",2
"74","08","2010",3
"75","08","2011",1
"76","08","2012",6
"77","08","2013",89
"78","08","2014",109
"79","08","2015",177
"80","08","2016",127
"81","09","2001",1
"82","09","2002",1
"83","09","2005",1
"84","09","2007",1
"85","09","2008",2
"86","09","2010",2
"87","09","2011",10
"88","09","2012",7
"89","09","2013",20
"90","09","2014",117
"91","09","2015",131
"92","09","2016",112
"93","10","2008",2
"94","10","2009",3
"95","10","2010",1
"96","10","2011",5
"97","10","2012",4
"98","10","2013",19
"99","10","2014",112
"100","10","2015",113
"101","10","2016",97
"102","11","2007",1
"103","11","2008",2
"104","11","2009",2
"105","11","2010",2
"106","11","2011",4
"107","11","2012",6
"108","11","2013",26
"109","11","2014",108
"110","11","2015",66
"111","11","2016",73
"112","12","1997",1
"113","12","2005",2
"114","12","2009",3
"115","12","2010",2
"116","12","2011",7
"117","12","2012",1
"118","12","2013",32
"119","12","2014",73
"120","12","2015",152
"121","12","2016",108
"122","13","1993",1
"123","13","2007",1
"124","13","2008",1
"125","13","2010",3
"126","13","2011",1
"127","13","2012",7
"128","13","2013",23
"129","13","2014",82
"130","13","2015",131
"131","13","2016",93
"132","14","2008",1
"133","14","2009",4
"134","14","2010",1
"135","14","2011",2
"136","14","2012",5
"137","14","2013",113
"138","14","2014",130
"139","14","2015",116
"140","14","2016",102
"141","15","1999",1
"142","15","2007",1
"143","15","2009",4
"144","15","2010",10
"145","15","2011",5
"146","15","2012",9
"147","15","2013",38
"148","15","2014",122
"149","15","2015",129
"150","15","2016",107
"151","16","2002",1
