"","YEAR_CLOSED","MONTH_CLOSED","year_month","case_type","cases"
"1","2015","12","2015-12","closed",42
"2","2016","01","2016-01","closed",280
"3","2016","02","2016-02","closed",355
"4","2016","03","2016-03","closed",360
"5","2016","04","2016-04","closed",295
"6","2016","05","2016-05","closed",338
"7","2016","06","2016-06","closed",237
"8","2015","12","2015-12","open",199
"9","2016","01","2016-01","open",376
"10","2016","02","2016-02","open",476
"11","2016","03","2016-03","open",417
"12","2016","04","2016-04","open",414
"13","2016","05","2016-05","open",451
"14","2016","06","2016-06","open",265
"15","2015","12","2015-12","backlog",157
"16","2016","01","2016-01","backlog",253
"17","2016","02","2016-02","backlog",374
"18","2016","03","2016-03","backlog",431
"19","2016","04","2016-04","backlog",550
"20","2016","05","2016-05","backlog",663
"21","2016","06","2016-06","backlog",691
